,id,names,phone,email,department,role
0,1,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
1,2,Power dev,650030003,powerdev@helpinghands.cm,Dev,Backend engineer
2,3,Lorem xhor,650030003,loremxhor@helpinghands.cm,Cloud,Cloud security engineer
3,4,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
4,5,John Doe,650030003,johndoe@helpinghands.cm,Cloud,DevOps engineer
5,6,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
6,7,Instat lord,650030003,johndoe@helpinghands.cm,Dev,Data scientist
7,8,John Doe,650030003,johndoe@helpinghands.cm,Dev,Software engineer
8,9,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
9,10,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
10,11,Coucou maniac,650030003,johndoe@helpinghands.cm,Design,UX developer
11,12,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
12,13,Fatal sight,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
13,14,Data billion,650030003,johndoe@helpinghands.cm,Dev,Data scientist
14,15,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
15,16,John Doe,650030003,johndoe@helpinghands.cm,System design,System architecture engineer
16,17,Grace hope,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
17,18,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
18,19,Vizualizit,650030003,johndoe@helpinghands.cm,Dev,BI engineer
19,20,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
20,21,Human calc,650030003,johndoe@helpinghands.cm,Administration,Developer relations 
21,22,Christ denk,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
22,23,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Data scientist
23,24,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
24,25,Shooter,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
25,26,John Doe,650030003,johndoe@helpinghands.cm,Administration,Developer advocate
26,27,Pythoniker,650030003,johndoe@helpinghands.cm,Dev,ML engineer
27,28,John Doe,650030003,johndoe@helpinghands.cm,Cloud,Cloud security engineer
28,29,John Doe,650030003,johndoe@helpinghands.cm,Marketing,Community manager
29,30,John Doe,650030003,johndoe@helpinghands.cm,Marketing,Community manager
